threshold,long_window,short_window,precision,recall,f1_score,accuracy,mcc,true_positive_windows,false_positive_alerts,false_negative_windows,raw_nab_score,normalized_nab_score,model
0.9997,25,1,0.05365853658536585,0.03412616339193381,0.041719342604298354,0.9427665357897916,0.014099438399717345,12,582,7,-68.19024877885263,-52.96534873482918,ANN
0.9997,20,1,0.051926298157453935,0.03205791106514995,0.03964194373401535,0.9432950770160072,0.012484228206700443,11,566,8,-68.51664656406875,-53.53797642819079,ANN
0.9998,30,1,0.05391304347826087,0.03205791106514995,0.040207522697795074,0.9441256418000604,0.01382482974882163,10,544,9,-70.01507702799594,-56.166801803501656,ANN
0.9998,40,1,0.053082191780821915,0.03205791106514995,0.03997421018697614,0.9437858652974932,0.013269852660626873,10,553,9,-70.8135524753295,-57.5676359216307,ANN
0.9998,35,1,0.05254237288135593,0.03205791106514995,0.03982016698779705,0.9435593476291151,0.012904952213711378,10,559,9,-71.54660944664928,-58.85370078359524,ANN
0.9996,20,1,0.050793650793650794,0.033092037228541885,0.04007514088916719,0.9421247357293869,0.011890150727781905,11,598,8,-71.96752292034337,-59.59214547428662,ANN
0.9996,25,1,0.05222734254992319,0.03516028955532575,0.04202719406674907,0.9414829356689822,0.01330502971272302,12,617,7,-72.03769911889836,-59.71526161210238,ANN
0.9998,50,1,0.0549645390070922,0.03205791106514995,0.040496407576747225,0.944540924192087,0.014516005766996827,8,533,11,-73.57138325773892,-62.40593553989284,ANN
0.9997,40,1,0.05186385737439222,0.033092037228541885,0.04040404040404041,0.9426155240108729,0.012645111202961998,10,585,9,-74.33354911868425,-63.7430686292706,ANN
0.9997,35,1,0.051696284329563816,0.033092037228541885,0.0403530895334174,0.9425400181214135,0.012527866406293303,10,587,9,-74.50929108962956,-64.05138787654307,ANN
0.9995,20,1,0.0486322188449848,0.033092037228541885,0.03938461538461539,0.9410676532769556,0.010318674722886117,11,626,8,-75.00508904492317,-64.9212088507424,ANN
0.9995,25,1,0.0527086383601757,0.03722854188210962,0.04363636363636365,0.9404258532165509,0.014054060736380953,12,647,7,-75.33608607105207,-65.50190538781064,ANN
0.9997,30,1,0.05238095238095238,0.03412616339193381,0.041327489041953665,0.9422002416188463,0.01321120100536505,10,597,9,-75.84507702799588,-66.39487197894015,ANN
0.9997,50,1,0.051839464882943144,0.03205791106514995,0.039616613418530344,0.9432573240712776,0.012424555750499444,8,567,11,-77.29708133715525,-68.94224795992149,ANN
0.9996,40,1,0.053929121725731895,0.03619441571871768,0.043316831683168314,0.941633947447901,0.014722114677602186,10,614,9,-77.50615095314026,-69.30903675989519,ANN
0.9996,30,1,0.05069124423963134,0.03412616339193381,0.0407911001236094,0.9414074297795229,0.012004933329690253,10,618,9,-78.01159491504013,-70.19578055270199,ANN
0.9996,35,1,0.05053598774885146,0.03412616339193381,0.04074074074074074,0.9413319238900634,0.011892215229811768,10,620,9,-78.13929065700319,-70.41980817018103,ANN
0.9996,50,1,0.050793650793650794,0.033092037228541885,0.04007514088916719,0.9421247357293869,0.011890150727781905,8,598,11,-80.6957329296317,-74.90479461338896,ANN
0.9995,35,1,0.05,0.03516028955532575,0.04128718882817243,0.9403881002718212,0.011678034359062799,10,646,9,-80.97414385214915,-75.39323482833186,ANN
0.9995,30,1,0.048600883652430045,0.03412616339193381,0.040097205346294046,0.9403503473270916,0.010459204832964716,10,646,9,-80.98557717026749,-75.41329328117104,ANN
0.9995,40,1,0.05278592375366569,0.03722854188210962,0.04366282595512432,0.9404636061612806,0.014110487367406636,10,646,9,-81.02580129780715,-75.48386192597745,ANN
0.9995,50,1,0.05007587253414264,0.03412616339193381,0.04059040590405904,0.9411054062216853,0.01155624228180989,8,626,11,-83.75339633250219,-80.26911637281086,ANN
0.999,20,1,0.051347881899871634,0.04136504653567735,0.04581901489117984,0.9371035940803383,0.013774317140215216,12,739,7,-85.12488197121603,-82.67523152844917,ANN
0.999,25,1,0.04853128991060025,0.03929679420889348,0.04342857142857143,0.9368015705225008,0.011189613327073742,12,745,7,-85.96362009554039,-84.14670192200069,ANN
0.999,50,1,0.04933333333333333,0.038262668045501554,0.04309842748980781,0.9379719118091211,0.011674264788509123,9,713,10,-90.46483850689452,-92.04357632788512,ANN
0.999,35,1,0.05012853470437018,0.04033092037228542,0.04469914040114614,0.9370658411356085,0.012634229978706004,10,739,9,-91.06636053943755,-93.09887813936413,ANN
